item,description,price,image
Gino's Meal for One,"Choice of Panuozzo, Fries, and Soft Drink - AED 49",49,https://images.deliveryhero.io/image/talabat/Menuitems/CC6481BAD3E6ABE7D58A6EAE9E640209?width=172&amp;height=172
Gino's Meal for 2,"Choice of any 2 Panuozzo, 2 Fries, and 2 Soft Drink - AED 109",109,https://images.deliveryhero.io/image/talabat/Menuitems/9A1C3DABCBF45982973C027566B7B190?width=172&amp;height=172
Family Meal (Serves 4),"Any 4 Panuozzo or Pasta, 4 Appetisers, 4 Soft Drink - AED 199",199,https://images.deliveryhero.io/image/talabat/Menuitems/C463E70A095207970DD5E366569D1B40?width=172&amp;height=172
Appetizer Share Box,Choice of any 3 appetizers - perfect for sharing!,64,https://images.deliveryhero.io/image/talabat/Menuitems/F0654DC3B495D9A613D780AEF9AC48F0?width=172&amp;height=172
Any 3 Panuozzo,"Choice of any 3 of our famous, authentic, fresh baked panuozzo!",99,https://images.deliveryhero.io/image/talabat/Menuitems/C8CC30C0F8060FFD81AA1998990C41F0?width=172&amp;height=172
Ginos Chicken Strips,"Juicy, tender, succulent chicken strips. Served with a choice of house made dips",32,https://images.deliveryhero.io/image/talabat/Menuitems/3C36F848D5A988C2579FB2F99E4F7D32?width=172&amp;height=172
Sweet Potato Fries,"Sweet and crispy fries, served with a choice of house-made dips",24,https://images.deliveryhero.io/image/talabat/Menuitems/908DA5F5D675E31F0E8E9C79A8AC2EFA?width=172&amp;height=172
Ginos Potato Wedges,"Crispy fried potato wedges, lightly seasoned. Served with a choice of house-made dips",24,https://images.deliveryhero.io/image/talabat/Menuitems/8C154381797BF65ED72EDEDC0C426367?width=172&amp;height=172
Mozzarella Balls,"Mini breaded mozzarella bites, served with a choice of house-made dip",29,https://images.deliveryhero.io/image/talabat/Menuitems/56097A6D37B91BE245F9C6EB2D457157?width=172&amp;height=172
Garlic Bread & Mozzarella,Oven baked ciabatta with homemade roast garlic oil and fresh fior di latte mozzarella,23,https://images.deliveryhero.io/image/talabat/Menuitems/92DABDD5173E59E191AF7CECA17C4BF4?width=172&amp;height=172
Gino's Chicken Wings (6),"Premium, thick, juicy wings smothered in your choice of Smoky BBQ sauce or tangy Buffalo. Served with a Blue cheese dip (6 wings)",32,https://images.deliveryhero.io/image/talabat/Menuitems/43B2FDC1F453570D84665736D12B94A2?width=172&amp;height=172
Arancini,"Italian rice balls stuffed with tomato and mozzarella, and shallow fried. Served with a choice of house-made dip",29,https://images.deliveryhero.io/image/talabat/Menuitems/050AC3A2138F4FAC58E26029134708DE?width=172&amp;height=172
Quinoa Greco Salad,"White quinoa, authentic Greek feta, Kalamata olives, pine nuts, cherry tomato, fresh rocket, Italian lime dressing",43,https://images.deliveryhero.io/image/talabat/Menuitems/C156DC3970B471C385A8D89CFFFD9717?width=172&amp;height=172
Italian Chicken Pasta Salad,"Served cold Pasta salad with fusili, roast chicken, sweetcorn, kalamata olives, sundried tomato, fresh rocket, grated parmesan and pesto dressing",43,https://images.deliveryhero.io/image/talabat/Menuitems/FC140F329CA167429DFAFD5516B0AE88?width=172&amp;height=172
Ginos Chicken Caesar Salad,"Fresh Romaine lettuce with a creamy Caesar dressing, crispy garlic croutons, powdered parmesan cheese and grilled chicken breast",43,https://images.deliveryhero.io/image/talabat/Menuitems/CE68AC3F81885727D6D7449875A309D1?width=172&amp;height=172
Tomato & Mozzarella (Sandwich),"Freshly baked panuozzo with sliced tomato, fresh thick cut buffalo mozzarella, homemade pesto, fresh basil",44,https://images.deliveryhero.io/image/talabat/Menuitems/F763E7530B47C58F1179ED822E9B1A9E?width=172&amp;height=172
Salami Melt (Sandwich),"Freshly baked panuozzo with Italian tomato sauce, fresh ricotta, fior di latte mozzarella, fresh rocket, Italian salami, oregano",42,https://images.deliveryhero.io/image/talabat/Menuitems/F5161359F64EDB26967FE9A2091CB422?width=172&amp;height=172
Fire Chicken BBQ (Sandwich),"Freshly baked panuozzo with crispy fried chicken, homemade caramelized onion, smoky bbq sauce, jalapenos and fior di latte mozzarella",42,https://images.deliveryhero.io/image/talabat/Menuitems/88580B351011BAB812C2B4473617D7B3?width=172&amp;height=172
Chicken Pesto Mozzarella (Sandwich),"Freshly baked panuozzo with creamy pesto sauce, oven roast shredded chicken, fior di latte mozzarella, and sundried tomatoes",44,https://images.deliveryhero.io/image/talabat/Menuitems/A05EC61796D02C5AAFA25763A5A438FC?width=172&amp;height=172
Italian Meatball (Sandwich),"Fresh baked panuozzo oozing with Gino's homemade Italian meatballs in a rich tomato ragu, topped with fior di latte mozzarella, parmesan, and a sprinkling of oregano. Mamma Mia!",44,https://images.deliveryhero.io/image/talabat/Menuitems/22A6BBCAC409B9837298EEC8E070A686?width=172&amp;height=172
Bresaola & Rocket (Sandwich),"Freshly baked panuozzo with Italian tomato sauce, fresh ricotta, premium sliced beef bresaola, fior di latte mozzarella and fresh rocket",42,https://images.deliveryhero.io/image/talabat/Menuitems/DC5E06BB9F12BA7F2D83BC9E96E46594?width=172&amp;height=172
Butter Chicken & Burrata (Sandwich),Freshly baked panuozzo with Gino's butter chicken and creamy burrata,44,https://images.deliveryhero.io/image/talabat/Menuitems/31C25A77D73300C73C406CF9750E85C4?width=172&amp;height=172
Halloumi & Roast Vegetables (Sandwich),"Freshly baked panuozzo with sundried tomato pesto, oven roast Mediterranean vegetables, sliced halloumi, and homemade basil pesto, oregano",42,https://images.deliveryhero.io/image/talabat/Menuitems/0666F4440E5BFA705092F637B74D6F72?width=172&amp;height=172
Chipotle Cheesesteak (Sandwich),"Freshly baked panuozzo with grilled beef strips, sautéed onions, peppers, American cheddar sauce and chipotle mayonnaise",46,https://images.deliveryhero.io/image/talabat/Menuitems/9BEF51DCBF9BC2C7CCA882006F08D43F?width=172&amp;height=172
Buffalo Chicken (Sandwich),"Freshly baked panuozzo with buffalo fried chicken, chopped spring onion, fior di latte mozzarella, and buffalo ranch sauce",42,https://images.deliveryhero.io/image/talabat/Menuitems/C3F753B3879BA9F4E8EE69EEE2D35336?width=172&amp;height=172
Tuna Mayo (Sandwich),"Freshly baked panuozzo with premium Mediterranean tuna, mayonnaise, sweetcorn, and sliced tomato",42,https://images.deliveryhero.io/image/talabat/Menuitems/48DA9601CD456F4C3EBF86125E4A9DD7?width=172&amp;height=172
BBQ Honey Mustard (Sandwich),"Freshly baked panuozzo with house slaw, shallow fried chicken escalope, topped with fior di latte mozzarella and swiss cheese, and drizzled with Gino's homemade bbq honey mustard dressing",46,https://images.deliveryhero.io/image/talabat/Menuitems/9489A288C8CF3631EE7BE4BFD80C5F2E?width=172&amp;height=172
Classic Reuben (Sandwich),"Freshly baked panuozzo with Russian sauce, sauerkraut, beef pastrami, sliced pickles, American mustard and Swiss cheese - Gino's take on a classic!",46,https://images.deliveryhero.io/image/talabat/Menuitems/219D48DB760F9FE4692B15017ECF1625?width=172&amp;height=172
The Rebecca (Sandwich),"Slow cooked, homemade pulled BBQ brisket, garlic & herb sauce, sliced pickle and aged smoked cheddar cheese",46,https://images.deliveryhero.io/image/talabat/Menuitems/3B9732F49EDD95EA98B4085F7DD86996?width=172&amp;height=172
Brooklyn Hero (Sandwich),"Freshly baked panuozzo stuffed with Gino's mustard-mayo sauce, american cheddar, smoked turkey, Italian salami and dill pickles",46,https://images.deliveryhero.io/image/talabat/Menuitems/3A9E6CAB5C4BF6D6F706B754E5D37B40?width=172&amp;height=172
Spaghetti Bolognese,Classic spaghetti pasta with our homemade rich tomato and beef bolognese sauce,52,https://images.deliveryhero.io/image/talabat/Menuitems/683C8353B9815F7BFBAAFD5262388C38?width=172&amp;height=172
Gino's Penne Alfredo,Penne pasta with Gino's homemade creamy Alfredo sauce with oven roast chicken and fresh mushroom,52,https://images.deliveryhero.io/image/talabat/Menuitems/14504A368406FD17B21C2B1399F395D4?width=172&amp;height=172
Penne Calabrese,"Penne pasta with our homemade creamy, tangy pink sauce with sundried tomato and grilled chicken (mildly spicy)",55,https://images.deliveryhero.io/image/talabat/Menuitems/AF7D8458770DE8E73EF43D54F217BA04?width=172&amp;height=172
Mac'n'Cheese,Ginos thick and creamy macaroni and cheddar classic,38,https://images.deliveryhero.io/image/talabat/Menuitems/184FFE15A745EA6D9575AB07879AD3A7?width=172&amp;height=172
Gino's Gnocchi,Gino's famous gnocchi with your choice of homemade pesto or truffled cream,52,https://images.deliveryhero.io/image/talabat/Menuitems/D1CE8277E02FE37B203B4B963BA8B8D4?width=172&amp;height=172
Buffalo Ranch (30ml),Creamy Buffalo Ranch Dip,4,https://images.deliveryhero.io/image/talabat/Menuitems/7C649C786D6C9F45F178D7850D864CCF?width=172&amp;height=172
Sundried Tomato Marinara (30ml),"Homemade with Italian sundried tomatoes, pine nuts, and classic marinara sauce",5,https://images.deliveryhero.io/image/talabat/Menuitems/2D3BFB93606AF7980798FED46543D50D?width=172&amp;height=172
Garlic & Herb (30ml),Homemade creamy garlic and herb dip,4,https://images.deliveryhero.io/image/talabat/Menuitems/B4C28F7C60D890214D3570C05BC8AA08?width=172&amp;height=172
BBQ Honey Mustard (30ml),"A classic combination of smoky BBQ sauce, American mustard and honey",4,https://images.deliveryhero.io/image/talabat/Menuitems/08DD721E01B6A881AC2445C97978EFC6?width=172&amp;height=172
Chipotle Mayo (30ml),"Spicy, tangy and delicious with almost anything!",4,https://images.deliveryhero.io/image/talabat/Menuitems/1ACDC3895E6C2FF85EBED3ABE6D09233?width=172&amp;height=172
Sweet Chili (30ml),A sweet & (mildly) spicy classic!,3,https://images.deliveryhero.io/image/talabat/Menuitems/9902853B413DE0ECA3557BA7AA033A29?width=172&amp;height=172
Smoky BBQ (30ml),A smoky classic,3,https://images.deliveryhero.io/image/talabat/Menuitems/2DA1C33FF24D8D14B594FEECB47831CE?width=172&amp;height=172
Marie Rose (30ml),"A blend of tomato, mayonnaise, Worcestershire sauce, lemon juice and black pepper",4,https://images.deliveryhero.io/image/talabat/Menuitems/FE33C64651925FEE62E1AFE488428549?width=172&amp;height=172
Ginos Tiramisu,House special - homemade classic creamy Tiramisu (8oz),25,https://images.deliveryhero.io/image/talabat/Menuitems/151D91D378B98924202E7E1122B7E65F?width=172&amp;height=172
Chocolate Fudge Brownie,"Homemade chocolate fudge brownie - soft, chewy and delicious! Contain Nuts (1 piece)",22,https://images.deliveryhero.io/image/talabat/Menuitems/F36A533763464E4220CF5F682C4032AE?width=172&amp;height=172
Banana Caramel Pudding,"Gino's homemade pudding with caramelised banana, custard cream, and banana caramel sauce",28,https://images.deliveryhero.io/image/talabat/Menuitems/9ED6322AE9653B4860F268094F1B318C?width=172&amp;height=172
Arwa Water (500ml),,5,https://images.deliveryhero.io/image/talabat/Menuitems/6D50DFCE9C1AC7F54AB6309F69646658?width=172&amp;height=172
Coca Cola (250ml),250ml,9,https://images.deliveryhero.io/image/talabat/Menuitems/018B57901EEE37D5710BDBC5C67CADBF?width=172&amp;height=172
Coke Zero (250ml),250ml bottle,9,https://images.deliveryhero.io/image/talabat/Menuitems/ED824B8B3B336DA84682452642F1BB58?width=172&amp;height=172
Sprite (250ml),250ml bottle,9,https://images.deliveryhero.io/image/talabat/Menuitems/6A7BE630FA9BFA8A66CF789753CF35FE?width=172&amp;height=172
Fanta (250ml),250ml bottle,9,https://images.deliveryhero.io/image/talabat/Menuitems/709BC7CD76DB80270EB26F0BF793CE18?width=172&amp;height=172
Nonna's Meal for 1,"Any Appetiser, Any Pasta, Any Soft Drink",65,https://images.deliveryhero.io/image/talabat/Menuitems/A978DF4B0B3010DD2DC990A758CF3DA9?width=172&amp;height=172
Nonna's Meal for 2,"Any 2 Appetisers, any 2 Pasta's and 2 Soft Drinks!",125,https://images.deliveryhero.io/image/talabat/Menuitems/E027EE31FA1D1EE5601A8FD4D8A562ED?width=172&amp;height=172
Pasta Party Pack - Any 4 pasta's,Choose any 4 pastas from our menu!,149,https://images.deliveryhero.io/image/talabat/Menuitems/643F8604BDDE799B008A2F243FFB1EC5?width=172&amp;height=172
Nonna's Chicken Strips,"Tender, crispy and delicious - thats how Mamma makes them! Served with BBQ Sauce (4 strips)",29,https://images.deliveryhero.io/image/talabat/Menuitems/2AB03F62823E1D36019BAE958FF0757C?width=172&amp;height=172
Chili Cheese Bites,"Breaded, crispy, (slightly) chili cheesy bites with a soft centre. Served with a homemade garlic & herb dip",29,https://images.deliveryhero.io/image/talabat/Menuitems/883A86F2C8ADB637DC31C0FF7AF3ABB2?width=172&amp;height=172
Nonna's Sweet Potato Fries,Perfectly crunchy sweet potato fries with a sweet chili dip,23,https://images.deliveryhero.io/image/talabat/Menuitems/2ECD686CD342B11621A64B85A0CF6C47?width=172&amp;height=172
Homemade Garlic Bread & Mozzarella,"Homemade freshly baked bread with fresh garlic and EVOO, topped with our creamy mozzarella",25,https://images.deliveryhero.io/image/talabat/Menuitems/94934064ACCEE0EF10A59188F6CB27DC?width=172&amp;height=172
Nonna's Chicken Wings (6) - BBQ,"Premium, thick, juicy wings smothered in your choice of Smoky BBQ sauce. Served with a Blue cheese dip (6 wings)",32,https://images.deliveryhero.io/image/talabat/Menuitems/DCFF61FF2AF96CE792DDE55B8A454233?width=172&amp;height=172
Nonna's Chicken Wings (6) - Buffalo,"Premium, thick, juicy wings smothered in tangy Buffalo sauce. Served with a Blue cheese dip",32,https://images.deliveryhero.io/image/talabat/Menuitems/1A3E4EE5CF3DDBC6E50122561EDABC47?width=172&amp;height=172
Tuscan Chicken Pasta Salad,"Served cold A delightful mix of Italian flavours and one of Nonna's crowd pleasers - fusili pasta, kalamata olives, shredded roast chicken, sweetcorn, fresh rocket, sun-dried tomato, pine nuts, homemade fresh basil pesto and parmesan",43,https://images.deliveryhero.io/image/talabat/Menuitems/303F3D7D33FAA697EC415F27313E760C?width=172&amp;height=172
Nonna's Grilled Chicken Caesar Salad,"Crispy Romaine lettuce with Nonna's creamy Caesar dressing, homemade garlic croutons, powdered parmesan cheese and grilled chicken breast",43,https://images.deliveryhero.io/image/talabat/Menuitems/2CE50F7174DA328B002D15AF3DC724A7?width=172&amp;height=172
Sicilian Tuna Pasta Salad,"Served cold Fusili pasta with Nonna's tuna mayo with Mediterranean tuna, sundried tomato, sweetcorn and spring onion",43,https://images.deliveryhero.io/image/talabat/Menuitems/447C54ED3FFFCC560DE77F7A11CD017A?width=172&amp;height=172
Insalata Caprese,"Sliced vine tomato with thick cut slices of fresh mozzarella, topped with Nonna's homemade basil pesto, fresh rocket and premium Italian EVOO",49,https://images.deliveryhero.io/image/talabat/Menuitems/6ABC91B2F17690BB2C0946929B434DD3?width=172&amp;height=172
Nonna's Spaghetti Bolognese,An Italian classic - premium spaghetti pasta tossed with Nonna's homemade rich Beef Bolognese sauce - bellissima!,49,https://images.deliveryhero.io/image/talabat/Menuitems/F89775B299576ACB6E3DFA8CAB5401AB?width=172&amp;height=172
Tagliatelle Della Mamma,"Mamma Mia! Premium tagliatelle pasta, with Mamma's famous cream sauce of sauteed shrimp and roast garlic! Maraviglioso! (mildly spicy)",59,https://images.deliveryhero.io/image/talabat/Menuitems/70F8D9F786F734A816A53D5698069EBD?width=172&amp;height=172
Penne Alfredo,Premium penne pasta with a rich and creamy sauce of oven roast chicken and fresh mushroom. Topped with Parmesan,49,https://images.deliveryhero.io/image/talabat/Menuitems/D26CDDDC35FCF83CBF316F4B9288DF99?width=172&amp;height=172
Gnocchi Alla Quattro Formaggi,"Deliciously satisfying gnocchi pasta with a creamy, cheesy homemade four cheese sauce (cheddar, parmesan, gorgonzola and emmenthal)",49,https://images.deliveryhero.io/image/talabat/Menuitems/BF11FDC060C31D8F57AB039012B2DDAF?width=172&amp;height=172
Tortelloni Della Nonna,"Mamma's delicious spinach & ricotta stuffed tortelloni, mixed with a cream sauce of smoked turkey, shiitake mushroom and emmental. Just the way Nonna likes it!",59,https://images.deliveryhero.io/image/talabat/Menuitems/49A6403E2DAD51A0A1FE9890AFCE4D04?width=172&amp;height=172
Fusili Bianco Rosso,"Fusili pasta swirls mixed in Nonna's rich, flavour packed pomodoro sauce, topped with fresh straciatella and chili flakes",59,https://images.deliveryhero.io/image/talabat/Menuitems/860423B1DD8508128849FE2518F6DEC2?width=172&amp;height=172
Penne Pink,"Premium durum wheat penne rigate mixed with the perfect balance of Nonna's zesty pomodoro sauce, and silky smooth cooking cream",46,https://images.deliveryhero.io/image/talabat/Menuitems/E89B8735F5E5FAFF4BD8A867558B5E3D?width=172&amp;height=172
Penne Calabrese,"Penne pasta with a creamy, tangy pink sauce with sundried tomato and grilled chicken (mildly spicy)",55,https://images.deliveryhero.io/image/talabat/Menuitems/759AA219FA0887C943C971EA5B4BB0D8?width=172&amp;height=172
Penne Arrabbiata,"Premium durum wheat penne pasta with Nonna's classic sugo all'arrabbiata - a spicy sauce made from garlic, tomatoes, and dried red chili peppers, originating from the Lazio region, around Rome, and translated as 'angry' - in reference to the spice of the chili's",46,
Tagliatelle Al Tartufo,"Nonna's premium tagliatelle pasta, with a creamy homemade sauce of fresh mushroom and black truffle",55,
Create your Own Pasta,Create you own pasta with our premium pastas and homemade sauces,46,
Lasagna Al Forno Bolognese,"Fresh lasagna sheets smothered with Nonna's 100% homemade Beef Bolognese and homemade bechamel sauce, topped with fior di latte mozzarella and parmesan",52,https://images.deliveryhero.io/image/talabat/Menuitems/4B94AACDE4DB9B423FB7FDD66757B368?width=172&amp;height=172
Lasagna Di Pollo,"Layers of fresh lasagna, filled with Nonna's homemade basil pesto, shredded oven roast chicken breast, classic homemade bechamel sauce and topped with fior di latte mozzarella and parmesan",52,https://images.deliveryhero.io/image/talabat/Menuitems/2FF654280C2A932BDD30869C7763C626?width=172&amp;height=172
Bambino Bolognese,"Our classic Spaghetti with Beef Bolognese, just a bit smaller!",35,https://images.deliveryhero.io/image/talabat/Menuitems/C8D22CC686D9E26AA9116E8E938A5AE7?width=172&amp;height=172
Bambino Pomodoro,Penne pasta topped with our rich tomato sauce,32,https://images.deliveryhero.io/image/talabat/Menuitems/BA525323902551064FFAB033BC75CB0D?width=172&amp;height=172
Mac'n'Cheese,Nonna's delightfully creamy classic cheddar cheese mac!,35,https://images.deliveryhero.io/image/talabat/Menuitems/01D658CD3C9C83D0E289193F43D2C28F?width=172&amp;height=172
Chicken Nuggets & Wedges,Crispy chicken nuggets with seasoned potato wedges,28,https://images.deliveryhero.io/image/talabat/Menuitems/13F24739ABC5729750F3923F3809E47D?width=172&amp;height=172
Nonna's Chocolate Fudge Brownie,"Soft, fudgy and chocolatey. Satisfaction guaranteed! Contains Nuts",23,https://images.deliveryhero.io/image/talabat/Menuitems/4CBE990CA3AA7066814D49DB23EDF7BA?width=172&amp;height=172
Nonna's Chocolate Chip Cookie,"Soft, buttery, and stuffed with chocolate. A perfect treat!",23,https://images.deliveryhero.io/image/talabat/Menuitems/A1537480AF6BC48B69DDDD3A568EDC7C?width=172&amp;height=172
Nonna's Banana Caramel Pudding,"Nonna's homemade pudding with caramelised banana, custard cream, and banana caramel sauce",28,https://images.deliveryhero.io/image/talabat/Menuitems/8E1706AEDEC303E6B5343394551A7EF1?width=172&amp;height=172
Nonna's Toffee Sponge Cake,Homemade toffee sponge with creme anglaise and toffee nut caramel sauce,28,https://images.deliveryhero.io/image/talabat/Menuitems/4787052D27E3C1BD86ED0E039D37D866?width=172&amp;height=172
Nonna's Homemade Tiramisu,Classic Tiramisu using Nonna's secret recipe,28,https://images.deliveryhero.io/image/talabat/Menuitems/31F657C8D13C362F85CD77FB1F92C4FF?width=172&amp;height=172
Arwa Water (500ml),,5,https://images.deliveryhero.io/image/talabat/Menuitems/BB9E183197C487B000DA50E378E44485?width=172&amp;height=172
Coca Cola (290ml),,9,https://images.deliveryhero.io/image/talabat/Menuitems/DF22E314A3DA3D18A0C01867A561E51C?width=172&amp;height=172
Coke Zero (290ml),,9,https://images.deliveryhero.io/image/talabat/Menuitems/4C1E22C272FF722ACD7BE8E0718B7B8F?width=172&amp;height=172
Fanta (290ml),,9,https://images.deliveryhero.io/image/talabat/Menuitems/105CA63D17E048DEA39B96190DA307EF?width=172&amp;height=172
Sprite (290ml),,9,https://images.deliveryhero.io/image/talabat/Menuitems/61E9855C029D4D5C14B6EACABB7AB352?width=172&amp;height=172
Mixed Seafood Pizza BOGO,"Pizza sauce, mozzarella fior di latte, basil, oregano, garlic, chili flakes, prawns, squids, mussels, olive oil.",61,https://images.deliveryhero.io/image/talabat/Menuitems/DFC90CA12E9D60F728BEFED5DBEFCCE4?width=172&amp;height=172
4 Cheese Pizza BOGO,"Pizza sauce, mozzarella fior di latte, smoked mozzarella, gorgonzola, parmigiano cheese.",56,https://images.deliveryhero.io/image/talabat/Menuitems/5B72678947C62E8F7274D957C01D5C6C?width=172&amp;height=172
Hawaiin Pizza BOGO,"Mozzarella fior de latte, turkey ham, beef bacon, fresh pineapple and short ribs.",56,https://images.deliveryhero.io/image/talabat/Menuitems/274E786B8644561313D6302F8C980E65?width=172&amp;height=172
Buratta Cheese Pizza BOGO,"Pizza sauce, mozzarella fior di latte, semi-dried tomatoes, burrata, oregano and olive oil.",59,https://images.deliveryhero.io/image/talabat/Menuitems/C0CCD80696571AE362BB6F09842F571D?width=172&amp;height=172
Bufala Cheese with Sundried Tomato Pizza BOGO,"Pizza sauce, mozzarella fior di latte, buffalo mozzarella, basil, oregano, semi-dried tomatoes, olive oil.",59,https://images.deliveryhero.io/image/talabat/Menuitems/DD88AB6D00686A0C108EB44591964110?width=172&amp;height=172
All Meat Pizza BOGO,"Pizza sauce, mozzarella cheese, turkey ham, spicy beef salami, beef bacon, mushrooms, caramelized onion, fennel seeds, chilli flakes.",61,https://images.deliveryhero.io/image/talabat/Menuitems/D7E15BB68E1F74B970B53F8A1C3BD160?width=172&amp;height=172
Two Way Pizza,,55,https://images.deliveryhero.io/image/talabat/Menuitems/C4E2DBD70F40EB2D635945E91ADA3EBD?width=172&amp;height=172
Meal for 1,Choose your favourite Pizza or Pasta with a half portion salad and a drink.,49,https://images.deliveryhero.io/image/talabat/Menuitems/C6199B5362B7C63AF67B4EAC1EF3F5E7?width=172&amp;height=172
Party Feast,Mix & Match 4 of your favourite pizzas or pastas + 2 appetizers from the below list.,159,https://images.deliveryhero.io/image/talabat/Menuitems/7140BFE6017301CB68A79A9F574EEF82?width=172&amp;height=172
Meal for 2,Mix and match 2 of your favorite pizzas and pastas from the below list.,79,https://images.deliveryhero.io/image/talabat/Menuitems/BD23B1A9FF933AFA8080C5C591463E56?width=172&amp;height=172
Meal for 3,Mix & match 3 of your favorite pizzas and pastas.,109,https://images.deliveryhero.io/image/talabat/Menuitems/006436881232206A95EE4A68BE9A15BE?width=172&amp;height=172
Family Feast,Mix and match 3 of your favorite pizzas and pastas with 2 appetizers from the below list.,119,https://images.deliveryhero.io/image/talabat/Menuitems/DC692C25DDFF838605BAD3D98AD079F1?width=172&amp;height=172
Classic Margherita Pizza,"Pizza sauce, mozzarella fior di latte, basil, oregano.",47,https://images.deliveryhero.io/image/talabat/Menuitems/070E8BD84A1643F943450F726EC724DB?width=172&amp;height=172
Margherita with Bufala Mozzarella Pizza,"Pizza sauce, buffalo mozzarella, oregano, cherry tomatoes, olive oil.",57,https://images.deliveryhero.io/image/talabat/Menuitems/3EF7B1CF989BFEDB667B9AB5700AF00A?width=172&amp;height=172
Spicy Italian Pepperoni Pizza,"Pizza sauce, mozzarella fior di latte, mild spicy beef salami, caramelized onion, taggiasca olives, chili flakes and oregano.",55,https://images.deliveryhero.io/image/talabat/Menuitems/7DB767BC96F19D9652EC7091A9FD9F79?width=172&amp;height=172
Pepperoni Jalapeño Pizza,"Mozzarella cheese, pizza sauce, oregano, pepperoni , buffalo cheese, jalapeño pickles, button mushrooms, chilli oil.",59,https://images.deliveryhero.io/image/talabat/Menuitems/B4F2995CEC344269BA98C732A9F93C75?width=172&amp;height=172
Bufalla Cheese with Sundried Tomato Pizza,"Pizza sauce, mozzarella fior di latte, buffalo mozzarella, basil, oregano, semi-dried tomatoes, olive oil.",59,https://images.deliveryhero.io/image/talabat/Menuitems/C21405087B1AA097A73D8AA86754BEDA?width=172&amp;height=172
Eggplant and Parmesan Pizza,"Pizza sauce, mozzarella fior di latte, basil, oregano, fried eggplant, parmigiano cheese.",38.25,https://images.deliveryhero.io/image/talabat/Menuitems/D10F095CC894CA1985A98F1FF544D009?width=172&amp;height=172
4 Cheese Pizza,"Pizza sauce, mozzarella fior di latte, smoked mozzarella, gorgonzola, parmigiano cheese.",56,https://images.deliveryhero.io/image/talabat/Menuitems/C3707FFC223089E3D27533F05614932F?width=172&amp;height=172
Hawaiian Pizza,"Mozzarella fior de latte, turkey ham, beef bacon, fresh pineapple and short ribs.",56,https://images.deliveryhero.io/image/talabat/Menuitems/0039CF0D6A45FAED68D55D18872C844D?width=172&amp;height=172
Mix Vegetables Pizza,"Fresh pizza sauce, mozzarella, grilled zucchini and eggplant and mix bell pepper marinated with garlic, black olives, artichokes and pesto sauce.",53,https://images.deliveryhero.io/image/talabat/Menuitems/21B58BB269A1B1648082D162774383C2?width=172&amp;height=172
Burrata Cheese Pizza,"Pizza sauce, mozzarella fior di latte, semi-dried tomatoes, burrata, oregano and olive oil.",59,https://images.deliveryhero.io/image/talabat/Menuitems/74AF34F7AE81C1F57022C923EAAC3E87?width=172&amp;height=172
Truffle Pizza,"White sauce, mozzarella, mushrooms, truffle carpaccio & truffle oil.",79,https://images.deliveryhero.io/image/talabat/Menuitems/7C0B2C5A36E6C773D63AC3D57D366893?width=172&amp;height=172
All Meat Pizza,"Pizza sauce, mozzarella cheese, turkey ham, spicy beef salami, beef bacon, mushrooms, caramelized onion, fennel seeds, chilli flakes.",61,https://images.deliveryhero.io/image/talabat/Menuitems/43A65A8DC362A7535224FC95D2594725?width=172&amp;height=172
Burrata Mushroom Pizza,"Mushroom sauce, mozzarella cheese, parmesan cheese, burrata cheese, mushroom sautee, beef bacon sautee, sweet onion, rocket pesto, lemon zest, extra virgin olive oil.",59,https://images.deliveryhero.io/image/talabat/Menuitems/B03263DB13CBB7C2076879F65C022ABD?width=172&amp;height=172
Turkey & Artichokes Pizza,"Pizza sauce, mozzarella fior di latte, basil, oregano, smoked turkey ham, artichokes, mushrooms, black olives.",59,https://images.deliveryhero.io/image/talabat/Menuitems/603B19C4A25F7BEE2843A08BE37C8C55?width=172&amp;height=172
Mixed Seafood Pizza,"Pizza sauce, mozzarella fior di latte, basil, oregano, garlic, chili flakes, prawns, squids, mussels, olive oil.",61,https://images.deliveryhero.io/image/talabat/Menuitems/4C2205C6DD84D79A29F619FEDA444C43?width=172&amp;height=172
Whole Wheat Spicy Chicken Pizza,"Whole wheat pizza dough, Pizza sauce, mozzarella fior di latte, basil, oregano, grilled chicken, bell peppers, chili flakes.",57,https://images.deliveryhero.io/image/talabat/Menuitems/3B473517D8DBFE0FA8D3F0E9BB4BCFC8?width=172&amp;height=172
Buffalo Chicken Pizza,"Pizza sauce, mozzarella fior de latte, breaded chicken strips, red onion, with buffalo and ranch dressing.",57,https://images.deliveryhero.io/image/talabat/Menuitems/8D6065A79AB361DD09FBDC5CB66B4163?width=172&amp;height=172
Chicken Jalapeño Pizza,"Fresh cream sauce, smoked mozzarella cheese, chicken, jalapeno pickles, caramelized onions and dynamite sauce.",58,https://images.deliveryhero.io/image/talabat/Menuitems/DED1FE6ACC4EB641C2FA9BA5F4929951?width=172&amp;height=172
BBQ Chicken Pizza,"Barbecue sauce, mozzarella fior di latte, smoked mozzarella, barbecue chicken, paprika, baby marrows, eggplants, bell peppers and caramelized onion, black & white sesame seeds.",57,https://images.deliveryhero.io/image/talabat/Menuitems/64C812CB2B00946355A3DF3169655594?width=172&amp;height=172
