item,description,price,image
Vegan Dark Chocolate Cake,,36,https://images.deliveryhero.io/image/talabat/Menuitems/blob_637776471343564600?width=172&amp;height=172
Triple Chocolate Delight,,45,https://images.deliveryhero.io/image/talabat/Menuitems/blob_637776471850419687?width=172&amp;height=172
Lotus Cheesecake,,45,https://images.deliveryhero.io/image/talabat/Menuitems/blob_637776472187220319?width=172&amp;height=172
Pistachio Cheesecake,,45,https://images.deliveryhero.io/image/talabat/Menuitems/blob_637776472592581594?width=172&amp;height=172
Molten Chocolate Cake,Molten Chocolate Cake,36,https://images.deliveryhero.io/image/talabat/Menuitems/blob_637569315107479056?width=172&amp;height=172
New York Cheesecake,New York Cheesecake,36,https://images.deliveryhero.io/image/talabat/Menuitems/blob_637569315854627329?width=172&amp;height=172
Signature House Blend Coffee Beans,"Roasted whole, ungrounded Coffee Beans.",40,https://images.deliveryhero.io/image/talabat/Menuitems/mmw_637830904832192168?width=172&amp;height=172
Coffee Beans,1 Kilo Bag Coffee Beans,158,https://images.deliveryhero.io/image/talabat/Menuitems/blob_637677318706333502?width=172&amp;height=172
Dark Roast House Blend,,40,https://images.deliveryhero.io/image/talabat/Menuitems/mmw_637830923231227899?width=172&amp;height=172
Mixed Berry Pancakes With Nutella,"Seasonal fresh berries, chocolate and nutella sauce finished with crushed pistachios.",62,https://images.deliveryhero.io/image/talabat/Menuitems/Mixed_berry_pancakes_637172914236361744.jpg?width=172&amp;height=172
Cinnamon French Toast,"Brioche french toast with seasonal berries, cinnamon infused ricotta and caramel sauce.",51,https://images.deliveryhero.io/image/talabat/Menuitems/Cinnamon_French_Toas_637172914248015595.jpg?width=172&amp;height=172
Orange Booster Juice,"Orange, carrot and ginger",32,https://images.deliveryhero.io/image/talabat/Menuitems/mmw_637889046392256532?width=172&amp;height=172
Orange Juice,Fresh orange,27,https://images.deliveryhero.io/image/talabat/Menuitems/rsz_orange_juice__pi_637315491402081820.jpg?width=172&amp;height=172
Apple Juice,Fresh pineapple,24,https://images.deliveryhero.io/image/talabat/Menuitems/rsz_orange_juice__pi_637315491817438383.jpg?width=172&amp;height=172
Carrot Juice,Fresh Carrot,27,https://images.deliveryhero.io/image/talabat/Menuitems/rsz_orange_booster_c_637315492260242123.jpg?width=172&amp;height=172
Crème Brulee Coffee Frappe,"Coffee, creme brulee syrup",38,https://images.deliveryhero.io/image/talabat/Menuitems/CREME_BRULEE_COFFEE__637172914331942109.jpg?width=172&amp;height=172
Brownie Frappe,Chocolate Brownies and chocolate sauce,38,https://images.deliveryhero.io/image/talabat/Menuitems/BROWNIE_FRAPPE_637172914368688973.jpg?width=172&amp;height=172
